timestamp,asset,price_usd,price_change_1h_pct,price_change_24h_pct,volatility_1h_ann,volatility_24h_ann,bid_ask_spread_bps,order_book_depth_usd,liquidity_score,avg_confirmation_time_min,mempool_pending_tx,gas_price_gwei,regime
2025-02-15 00:00:00,BTC,68285.63,-0.00181,0.01251,0.3001,0.3792,28.71,9166028.17,63.7,13.13,54131.0,,normal
2025-02-15 00:00:00,ETH,3877.84,6e-05,-0.01422,0.4359,0.359,17.58,9371932.47,84.1,0.27,,35.51,normal
2025-02-15 00:00:00,LTC,96.75,0.00352,0.00242,0.3645,0.409,20.75,11624105.31,94.9,3.4,8519.0,,normal
2025-02-15 01:00:00,BTC,68407.07,-0.00235,-0.01406,0.3593,0.5264,26.26,13117207.33,67.8,10.37,57815.0,,normal
2025-02-15 01:00:00,ETH,3893.8,-0.00298,-0.01396,0.3381,0.5277,20.58,14435010.03,92.8,0.37,,58.99,normal
2025-02-15 01:00:00,LTC,96.89,-0.00571,-0.00066,0.39,0.3624,22.95,13567182.8,66.2,3.23,7183.0,,normal
2025-02-15 02:00:00,BTC,67821.22,-0.00787,0.03011,0.3375,0.462,32.53,12520069.81,74.6,12.89,79733.0,,normal
2025-02-15 02:00:00,ETH,3901.3,-0.00483,0.01055,0.528,0.4018,29.44,13528263.88,71.5,0.36,,32.69,elevated
2025-02-15 02:00:00,LTC,97.21,-0.00708,0.03104,0.4225,0.5161,20.75,7837013.51,88.7,3.73,5291.0,,normal
2025-02-15 03:00:00,BTC,67842.46,0.00017,-0.00367,0.4138,0.3637,27.63,8800165.28,64.1,10.48,56207.0,,normal
2025-02-15 03:00:00,ETH,3857.14,-0.00091,-0.01575,0.3815,0.5098,19.42,9606350.49,65.0,0.28,,30.75,normal
2025-02-15 03:00:00,LTC,96.66,-0.00069,-0.02868,0.4733,0.5114,25.37,14412494.8,76.6,3.18,6082.0,,normal
2025-02-15 04:00:00,BTC,67602.39,9e-05,-0.00949,0.4962,0.3829,21.95,8451715.34,74.7,14.08,65125.0,,normal
2025-02-15 04:00:00,ETH,3875.43,0.00243,-0.0019,0.4757,0.4667,21.51,6174809.01,84.6,0.57,,29.3,normal
2025-02-15 04:00:00,LTC,97.46,-0.01152,-0.00878,0.4933,0.415,15.27,8386339.43,92.3,3.56,7085.0,,normal
2025-02-15 05:00:00,BTC,68206.36,0.00413,-0.01393,0.4322,0.413,30.69,11663669.55,92.9,13.91,104272.0,,normal
2025-02-15 05:00:00,ETH,3874.21,0.0082,0.00359,0.5,0.5236,24.66,6445207.86,88.4,0.27,,26.5,elevated
2025-02-15 05:00:00,LTC,98.18,0.00361,-0.05298,0.5189,0.432,33.68,6935264.4,68.5,2.72,5269.0,,elevated
2025-02-15 06:00:00,BTC,67794.55,0.00456,0.04373,0.3029,0.3686,30.8,12538601.37,84.0,11.86,56646.0,,normal
2025-02-15 06:00:00,ETH,3865.26,0.00511,0.00814,0.4009,0.4831,13.33,14917746.86,62.3,0.33,,25.55,normal
2025-02-15 06:00:00,LTC,97.51,-0.00022,-0.03869,0.4914,0.4667,32.49,12667513.79,64.1,2.68,8177.0,,normal
2025-02-15 07:00:00,BTC,67836.15,-0.00117,-0.01791,0.4747,0.5391,17.24,8772149.39,89.0,10.24,52144.0,,normal
2025-02-15 07:00:00,ETH,3884.13,-0.00512,-0.01649,0.5386,0.546,34.01,14192205.6,86.7,0.38,,41.72,elevated
2025-02-15 07:00:00,LTC,97.32,0.00862,-0.0249,0.4586,0.4778,13.25,6050834.01,84.7,3.74,5188.0,,normal
2025-02-15 08:00:00,BTC,68411.6,-0.00119,-0.03089,0.4857,0.4431,10.32,11956707.42,60.3,11.49,54940.0,,normal
2025-02-15 08:00:00,ETH,3867.93,-0.00972,0.05302,0.4147,0.4778,10.53,5968757.96,69.5,0.37,,29.17,normal
2025-02-15 08:00:00,LTC,96.62,-0.00086,0.00291,0.4821,0.4947,31.86,12865128.78,77.4,2.54,6971.0,,normal
2025-02-15 09:00:00,BTC,68396.52,0.00226,-0.00536,0.3912,0.3902,30.16,11130123.81,75.0,14.62,65268.0,,normal
2025-02-15 09:00:00,ETH,3831.85,0.0014,0.02053,0.4939,0.5482,34.79,11560296.47,84.0,0.42,,25.67,normal
2025-02-15 09:00:00,LTC,96.92,0.00506,0.02772,0.4942,0.3678,32.18,10380257.96,85.5,3.17,12712.0,,normal
2025-02-15 10:00:00,BTC,67793.71,0.00302,-0.01894,0.3097,0.5334,34.6,14019956.63,64.4,10.14,92800.0,,normal
2025-02-15 10:00:00,ETH,3829.84,-0.00116,-0.04023,0.5091,0.3782,31.53,14230155.65,87.4,0.35,,34.13,elevated
2025-02-15 10:00:00,LTC,97.2,0.00656,-0.0176,0.4899,0.4489,18.37,7703474.28,80.3,2.9,8252.0,,normal
2025-02-15 11:00:00,BTC,67717.72,0.00507,0.0192,0.5008,0.4018,32.03,13883215.78,67.3,10.68,92757.0,,elevated
2025-02-15 11:00:00,ETH,3846.92,0.00667,-0.0055,0.427,0.4869,19.86,7841916.37,73.3,0.3,,29.32,normal
2025-02-15 11:00:00,LTC,96.38,8e-05,0.02308,0.3916,0.5289,18.69,5551672.55,76.1,2.54,5913.0,,normal
2025-02-15 12:00:00,BTC,67161.39,0.00203,0.02805,0.3677,0.3915,33.62,8333242.34,60.6,11.15,81267.0,,normal
2025-02-15 12:00:00,ETH,3832.81,0.00928,0.01592,0.3417,0.542,10.31,8357684.74,66.0,0.28,,25.59,normal
2025-02-15 12:00:00,LTC,96.46,0.0006,-0.01168,0.493,0.5464,18.49,13209830.46,84.4,3.54,6184.0,,normal
2025-02-15 13:00:00,BTC,67383.7,-0.00011,0.00213,0.3191,0.5009,13.17,13752021.83,89.5,11.11,154848.0,,normal
2025-02-15 13:00:00,ETH,3846.6,-0.00817,0.01441,0.5252,0.4016,26.6,13066956.66,84.6,0.25,,30.41,elevated
2025-02-15 13:00:00,LTC,96.96,-0.00618,-0.00857,0.4649,0.4563,29.34,13535593.11,92.6,2.52,6765.0,,normal
2025-02-15 14:00:00,BTC,67610.97,-0.00584,-0.00358,0.5056,0.3948,25.38,7448858.96,90.8,11.81,97226.0,,elevated
2025-02-15 14:00:00,ETH,3811.2,0.01059,-0.02267,0.4547,0.5197,22.73,12182535.73,85.2,0.31,,44.2,normal
